Pcs Id,Surname,First Names,Date Of Birth,Nationality
lorenzo-fortunato,FORTUNATO,Lorenzo,,
matthew-fox2,FOX,Matthew,,
stian-fredheim,FREDHEIM,Stian,,
milan-fretin,FRETIN,Milan,,
marco-frigo,FRIGO,Marco,,
frederik-frison,FRISON,Frederik,,
robin-froidevaux,FROIDEVAUX,Robin,,
mattia-gaffuri,GAFFURI,Mattia,,
felix-gall,GALL,Felix,,
patrick-gamper,GAMPER,Patrick,,
filippo-ganna,GANNA,Filippo,,
ivan-garcia-cortina,GARCÍA CORTINA,Iván,,
carlos-garcia-pierna,GARCÍA PIERNA,Carlos,,
raul-garcia-pierna,GARCÍA PIERNA,Raúl,,
aaron-gate,GATE,Aaron,,
david-gaudu,GAUDU,David,,
pierre-gautherat,GAUTHERAT,Pierre,,
fernando-gaviria,GAVIRIA,Fernando,,
derek-gee,GEE-WEST,Derek,,
jonas-geens,GEENS,Jonas,,
gil-gelders,GELDERS,Gil,,
kevin-geniets,GENIETS,Kevin,,
tao-geoghegan-hart,GEOGHEGAN HART,Tao,,
lorenzo-germani,GERMANI,Lorenzo,,
amanuel-ghebreigzabhier,GHEBREIGZABHIER,Amanuel,,
robbe-ghys,GHYS,Robbe,,
luca-giaimi,GIAIMI,Luca,,
joshua-giddings,GIDDINGS,Joshua,,
brady-gilmore,GILMORE,Brady,,
nil-gimeno,GIMENO,Nil,,
biniam-girmay,GIRMAY,Biniam,,
gal-glivar,GLIVAR,Gal,,
dorian-godon,GODON,Dorian,,
michael-gogl,GOGL,Michael,,
lev-gonov,GONOV,Lev,,
david-gonzalez-lopez,GONZÁLEZ,David,,
roberto-gonzalez,GONZÁLEZ,Roberto Carlos,,
matevz-govekar,GOVEKAR,Matevž,,
tijmen-graat,GRAAT,Tijmen,,
kamil-gradek,GRADEK,Kamil,,
matthew-greenwood,GREENWOOD,Matthew,,
sebastien-grignard,GRIGNARD,Sébastien,,
felix-grossschartner,GROßSCHARTNER,Felix,,
simone-gualdi,GUALDI,Simone,,
jaume-guardeno,GUARDEÑO,Jaume,,
tord-gudmestad,GUDMESTAD,Tord,,
jorge-gutierrez-gonzalez,GUTIÉRREZ,Jorge,,
per-strand-hagenes,HAGENES,Per Strand,,
jack-haig,HAIG,Jack,,
marco-haller,HALLER,Marco,,
chris-hamilton,HAMILTON,Chris,,
lucas-hamilton,HAMILTON,Lucas,,
chris-harper,HARPER,Chris,,
alan-hatherly,HATHERLY,Alan,,
kieran-haug,HAUG,Kieran,,
ethan-hayter,HAYTER,Ethan,,
ben-healy,HEALY,Ben,,
asbjorn-hellemose,HELLEMOSE,Asbjørn,,
jesus-herrada-lopez,HERRADA,Jesús,,
rune-herregodts,HERREGODTS,Rune,,
emil-herzog,HERZOG,Emil,,
michel-hessmann,HESSMANN,Michel,,
sergio-higuita,HIGUITA,Sergio,,
jai-hindley,HINDLEY,Jai,,
jan-hirt,HIRT,Jan,,
noah-hobbs,HOBBS,Noah,,
markus-hoelgaard,HOELGAARD,Markus,,
adne-holter,HOLTER,Ådne,,
daan-hoole,HOOLE,Daan,,
emmanuel-houcou,HOUCOU,Emmanuel,,
hugo-houle,HOULE,Hugo,,
damien-howson,HOWSON,Damien,,
axel-huens,HUENS,Axel,,
menno-huising,HUISING,Menno,,
jonas-hem-hvideberg,HVIDEBERG,Jonas Hem,,
alessandro-iacchi,IACCHI,Alessandro,,
storm-ingebrigtsen,INGEBRIGTSEN,Storm,,
unai-iribar-jauregi,IRIBAR,Unai,,
noa-isidore,ISIDORE,Noa,,
ion-izagirre,IZAGIRRE,Ion,,
johan-jacobs,JACOBS,Johan,,
fabio-jakobsen,JAKOBSEN,Fabio,,
yael-joalland,JOALLAND,Yaël,,
anders-halland-johannessen,JOHANNESSEN,Anders Halland,,
tobias-halland-johannessen,JOHANNESSEN,Tobias Halland,,
matteo-jorgenson,JORGENSON,Matteo,,
txomin-juaristi,JUARISTI,Txomin,,
bob-jungels,JUNGELS,Bob,,
christopher-juul-jensen,JUUL-JENSEN,Christopher,,
florian-samuel-kajamini,KAJAMINI,Florian Samuel,,
max-kanter,KANTER,Max,,
wilco-kelderman,KELDERMAN,Wilco,,
petr-kelemen,KELEMEN,Petr,,
josh-kench,KENCH,Josh,,
rainer-kepplinger,KEPPLINGER,Rainer,,
cole-kessler,KESSLER,Cole,,
timo-kielich,KIELICH,Timo,,
alex-kirsch,KIRSCH,Alex,,
arthur-kluckers,KLUCKERS,Arthur,,
james-knox,KNOX,James,,
mathieu-kockelmann,KOCKELMANN,Mathieu,,
bjoern-koerdt,KOERDT,Bjorn,,
oded-kogut,KOGUT,Oded,,
sebastian-kolze-changizi,KOLZE CHANGIZI,Sebastian,,
patrick-konrad,KONRAD,Patrick,,
soren-kragh-andersen,KRAGH ANDERSEN,Søren,,
andreas-kron,KRON,Andreas,,
steven-kruijswijk,KRUIJSWIJK,Steven,,
merhawi-kudus,KUDUS,Merhawi,,
johannes-kulset,KULSET,Johannes,,
sepp-kuss,KUSS,Sepp,,
anton-kuzmin,KUZMIN,Anton,,
michal-kwiatkowski,KWIATKOWSKI,Michał,,
lennard-kamna,KÄMNA,Lennard,,
antoine-l-hote,L'HOTE,Antoine,,
jordan-labrosse,LABROSSE,Jordan,,
vegard-stake-laengen,LAENGEN,Vegard Stake,,
luke-lamperti,LAMPERTI,Luke,,
mikel-landa,LANDA,Mikel,,
victor-langellotti,LANGELLOTTI,Victor,,
paul-lapeira,LAPEIRA,Paul,,
jonathan-lastra,LASTRA,Jonathan,,
axel-laurance,LAURANCE,Axel,,
mathis-le-berre,LE BERRE,Mathis,,
junior-lecerf,LECERF,Junior,,
andreas-leknessund,LEKNESSUND,Andreas,,
bart-lemmen,LEMMEN,Bart,,
michael-leonard1,LEONARD,Michael,,
florian-lipowitz,LIPOWITZ,Florian,,
arjen-livyns,LIVYNS,Arjen,,
giovanni-lonardi,LONARDI,Giovanni,,
matis-louvel,LOUVEL,Matis,,
aleksey-lutsenko,LUTSENKO,Alexey,,
harold-martin-lopez,LÓPEZ,Harold Martín,,
joseba-lopez-cuesta,LÓPEZ,Joseba,,
juan-pedro-lopez,LÓPEZ,Juan Pedro,,
sakarias-koller-loland,LØLAND,Sakarias Koller,,
jan-maas,MAAS,Jan,,
filip-maciejuk,MACIEJUK,Filip,,
alastair-mackellar,MACKELLAR,Alastair,,
valentin-madouas,MADOUAS,Valentin,,
mirco-maestri,MAESTRI,Mirco,,
filippo-magli2,MAGLI,Filippo,,
paul-magnier,MAGNIER,Paul,,
matteo-malucelli,MALUCELLI,Matteo,,
martin-marcellusi,MARCELLUSI,Martin,,
tim-marsman,MARSMAN,Tim,,
guillaume-martin,MARTIN,Guillaume,,
guillermo-juan-martinez,MARTINEZ,Juan Guillermo,,
lenny-martinez,MARTINEZ,Lenny,,
gotzon-martin,MARTÍN,Gotzon,,
daniel-felipe-martinez,MARTÍNEZ,Daniel Felipe,,
enric-mas,MAS,Enric,,
pietro-mattio,MATTIO,Pietro,,
marius-mayrhofer,MAYRHOFER,Marius,,
hamish-mckenzie,MCKENZIE,Hamish,,
brandon-mcnulty,MCNULTY,Brandon,,
jamie-meehan,MEEHAN,Jamie,,
milan-menten,MENTEN,Milan,,
felix-james-meo,MEO,Felix James,,
xandro-meurisse,MEURISSE,Xandro,,
luka-mezgec,MEZGEC,Luka,,
madis-mihkels,MIHKELS,Madis,,
fran-miholjevic,MIHOLJEVIĆ,Fran,,
aivaras-mikutis,MIKUTIS,Aivaras,,
jonathan-milan,MILAN,Jonathan,,
matteo-milan,MILAN,Matteo,,
lorenzo-milesi,MILESI,Lorenzo,,
iker-mintegi-claver,MINTEGI,Iker,,
juan-sebastian-molano,MOLANO,Juan Sebastián,,
rudy-molard,MOLARD,Rudy,,
alex-molenaar,MOLENAAR,Alex,,
bauke-mollema,MOLLEMA,Bauke,,
manlio-moro,MORO,Manlio,,
jacopo-mosca,MOSCA,Jacopo,,
gianni-moscon,MOSCON,Gianni,,
luca-mozzato,MOZZATO,Luca,,
ryan-mullen,MULLEN,Ryan,,
henok-mulubrhan,MULUBRHAN,Henok,,
byron-munton,MUNTON,Byron,,
jokin-murguialday-elorza,MURGUIALDAY,Jokin,,
niklas-markl,MÄRKL,Niklas,,
gregor-muhlberger,MÜHLBERGER,Gregor,,
tim-naberman,NABERMAN,Tim,,
oliver-naesen,NAESEN,Oliver,,
jhonatan-narvaez,NARVÁEZ,Jhonatan,,
krists-neilands,NEILANDS,Krists,,
lukas-nerurkar,NERURKAR,Lukas,,
jorgen-nordhagen,NORDHAGEN,Jørgen,,
domen-novak,NOVAK,Domen,,
pavel-novak,NOVÁK,Pavel,,
kelland-brien,O'BRIEN,Kelland,,
ben-o-connor,O'CONNOR,Ben,,
ander-okamika,OKAMIKA,Ander,,
stefano-oldani,OLDANI,Stefano,,
ivo-emanuel-alves,OLIVEIRA,Ivo,,
jakob-omrzel,OMRZEL,Jakob,,
oscar-onley,ONLEY,Oscar,,
sam-oomen,OOMEN,Sam,,
robin-orins,ORINS,Robin,,
jakub-otruba,OTRUBA,Jakub,,
paul-ourselin,OURSELIN,Paul,,
mathijs-paasschens,PAASSCHENS,Mathijs,,
quentin-pacher,PACHER,Quentin,,
enzo-paleni,PALENI,Enzo,,
aurelien-paret-peintre,PARET-PEINTRE,Aurélien,,
valentin-paret-peintre,PARET-PEINTRE,Valentin,,
nicolo-parisini,PARISINI,Nicolò,,
jose-felix-parra,PARRA,José Félix,,
oliver-peace,PEACE,Oliver,,
casper-pedersen,PEDERSEN,Casper,,
rasmus-sojbergpedersen,PEDERSEN,Rasmus Søjberg,,
giulio-pellizzari,PELLIZZARI,Giulio,,
adria-pericas-capdevila,PERICAS,Adrià,,
jasper-philipsen,PHILIPSEN,Jasper,,
finlay-pickering,PICKERING,Finlay,,
riley-pickrell,PICKRELL,Riley,,
tom-pidcock,PIDCOCK,Tom,,
davide-piganzoli,PIGANZOLI,Davide,,
alessandro-pinarello,PINARELLO,Alessandro,,
laurence-pithie,PITHIE,Laurence,,
edward-planckaert,PLANCKAERT,Edward,,
luke-plapp,PLAPP,Luke,,
jensen-plowright,PLOWRIGHT,Jensen,,
rick-pluimers,PLUIMERS,Rick,,
tadej-pogacar,POGAČAR,Tadej,,
nils-politt,POLITT,Nils,,
gianluca-pollefliet,POLLEFLIET,Gianluca,,
rudy-porter,PORTER,Rudy,,
johan-price-pejtersen,PRICE-PEJTERSEN,Johan,,
nicolas-prodhomme,PRODHOMME,Nicolas,,
lorenzo-quartucci,QUARTUCCI,Lorenzo,,
sean-quinn,QUINN,Sean,,
nairo-quintana,QUINTANA,Nairo,,
andrea-raccagni-noviero,RACCAGNI NOVIERO,Andrea,,
darren-rafferty,RAFFERTY,Darren,,
nadav-raisberg,RAISBERG,Nadav,,
unai-ramos,RAMOS,Unai,,
pepijn-reinderink,REINDERINK,Pepijn,,
senna-remijn,REMIJN,Senna,,
henri-francois-renard-haquin,RENARD-HAQUIN,Henri-François,,
erik-nordsaeter-resell,RESELL,Erik Nordsæter,,
laurenz-rex,REX,Laurenz,,
tim-rex,REX,Tim,,
matthew-riccitello,RICCITELLO,Matthew,,
jonas-rickaert,RICKAERT,Jonas,,
brandon-smith-rivera-vargas,RIVERA,Brandon Smith,,
remy-rochas,ROCHAS,Rémy,,
carlos-rodriguez-cano,RODRÍGUEZ,Carlos,,
cristian-rodriguez,RODRÍGUEZ,Cristián,,
primoz-roglic,ROGLIČ,Primož,,
brieuc-rolland,ROLLAND,Brieuc,,
alessandro-romele,ROMELE,Alessandro,,
ivan-romeo,ROMEO,Iván,,
javier-romo,ROMO,Javier,,
mathys-rondel,RONDEL,Mathys,,
timo-roosen,ROOSEN,Timo,,
louis-rouland,ROULAND,Louis,,
einer-rubio,RUBIO,Einer,,
ibon-ruiz,RUIZ,Ibon,,
clement-russo,RUSSO,Clément,,
jonas-rutsch,RUTSCH,Jonas,,
carlos-samudio,SAMUDIO,Carlos,,
christian-scaroni,SCARONI,Christian,,
maximilian-schachmann,SCHACHMANN,Maximilian,,
anton-schiffer,SCHIFFER,Anton,,
mauro-schmid,SCHMID,Mauro,,
marco-schrettl,SCHRETTL,Marco,,
nick-schultz,SCHULTZ,Nick,,
matthias-schwarzbacher,SCHWARZBACHER,Matthias,,
callum-scotson,SCOTSON,Callum,,
paul-seixas,SEIXAS,Paul,,
sente-sentjens,SENTJENS,Sente,,
gonzalo-serrano,SERRANO,Gonzalo,,
diego-pablo-sevilla,SEVILLA,Diego Pablo,,
james-shaw,SHAW,James,,
riley-sheehan,SHEEHAN,Riley,,
magnus-sheffield,SHEFFIELD,Magnus,,
artem-shmidt,SHMIDT,Artem,,
guillermo-thomas-silva-coussan,SILVA,Guillermo Thomas,,
quinn-simmons,SIMMONS,Quinn,,
pavel-sivakov,SIVAKOV,Pavel,,
anders-skaarseth,SKAARSETH,Anders,,
daniel-skerl,SKERL,Daniel,,
mattias-skjelmose-jensen,SKJELMOSE,Mattias,,
toms-skujins,SKUJIŅŠ,Toms,,
liam-slock,SLOCK,Liam,,
dion-smith,SMITH,Dion,,
matteo-sobrero,SOBRERO,Matteo,,
marc-soler,SOLER,Marc,,
ivan-ramiro-sosa,SOSA,Iván Ramiro,,
robert-stannard,STANNARD,Robert,,
johannes-staune-mittet,STAUNE-MITTET,Johannes,,
georg-steinhauser,STEINHAUSER,Georg,,
mattia-stenico,STENICO,Mattia,,
lucas-stevenson,STEVENSON,Lucas,,
jake-stewart,STEWART,Jake,,
mark-stewart,STEWART,Mark,,
tyler-stites,STITES,Tyler,,
oliver-stockwell,STOCKWELL,Oliver,,
michael-storer,STORER,Michael,,
florian-stork,STORK,Florian,,
corbin-strong,STRONG,Corbin,,
jasper-stuyven,STUYVEN,Jasper,,
haoyu-su,SU,Haoyu,,
joel-suter,SUTER,Joel,,
tobias-svarre,SVARRE,Tobias,,
embret-svestad-bardseng,SVESTAD-BÅRDSENG,Embret,,
martin-svrcek,SVRČEK,Martin,,
harry-sweeny,SWEENY,Harry,,
ben-swift,SWIFT,Ben,,
connor-swift,SWIFT,Connor,,
gleb-syritsa,SYRITSA,Gleb,,
florian-senechal,SÉNÉCHAL,Florian,,
jakob-soderqvist,SÖDERQVIST,Jakob,,
jasha-sutterlin,SÜTTERLIN,Jasha,,
lionel-taminiaux,TAMINIAUX,Lionel,,
joshua-tarling,TARLING,Joshua,,
manuele-tarozzi,TAROZZI,Manuele,,
harold-tejada,TEJADA,Harold,,
rotem-tene,TENE,Rotem,,
natnael-tesfatsion,TESFATSION,Natnael,,
mike-teunissen,TEUNISSEN,Mike,,
tim-torn-teutenberg,TEUTENBERG,Tim Torn,,
roland-thalmann,THALMANN,Roland,,
edward-theuns,THEUNS,Edward,,
gerben-thijssen,THIJSSEN,Gerben,,
benjamin-thomas-2,THOMAS,Benjamin,,
reuben-thompson,THOMPSON,Reuben,,
callum-thornley,THORNLEY,Callum,,
antonio-tiberi,TIBERI,Antonio,,
rasmus-tiller,TILLER,Rasmus,,
martin-tjotta,TJØTTA,Martin,,
alex-tolio,TOLIO,Alex,,
davide-toneatti,TONEATTI,Davide,,
alessandro-tonelli,TONELLI,Alessandro,,
albert-torres,TORRES,Albert,,
jan-tratnik,TRATNIK,Jan,,
matteo-trentin,TRENTIN,Matteo,,
torstein-traeen,TRÆEN,Torstein,,
luke-tuckwell,TUCKWELL,Luke,,
ben-tulett,TULETT,Ben,,
anthony-turgis,TURGIS,Anthony,,
gari-ugarte,UGARTE,Gari,,
henri-uhlig,UHLIG,Henri,,
cian-uijtdebroeks,UIJTDEBROEKS,Cian,,
martin-urianstad,URIANSTAD BUGGE,Martin,,
diego-uriarte-belzunegi,URIARTE,Diego,,
mathias-vacek,VACEK,Mathias,,
michael-valgren-andersen,VALGREN,Michael,,
attila-valter,VALTER,Attila,,
wout-van-aert,VAN AERT,Wout,,
tom-van-asbroeck,VAN ASBROECK,Tom,,
darren-van-bekkum,VAN BEKKUM,Darren,,
luca-van-boven,VAN BOVEN,Luca,,
julius-van-den-berg,VAN DEN BERG,Julius,,
marijn-van-den-berg,VAN DEN BERG,Marijn,,
fabio-van-den-bossche,VAN DEN BOSSCHE,Fabio,,
frank-van-den-broek,VAN DEN BROEK,Frank,,
jardi-christiaan-van-der-lee,VAN DER LEE,Jardi Christiaan,,
max-van-der-meulen,VAN DER MEULEN,Max,,
mathieu-van-der-poel,VAN DER POEL,Mathieu,,
danny-van-der-tuuk,VAN DER TUUK,Danny,,
mick-van-dijke,VAN DIJKE,Mick,,
tim-van-dijke,VAN DIJKE,Tim,,
lennert-van-eetvelt,VAN EETVELT,Lennert,,
dries-van-gestel,VAN GESTEL,Dries,,
bert-van-lerberghe,VAN LERBERGHE,Bert,,
vlad-van-mechelen,VAN MECHELEN,Vlad,,
danny-van-poppel,VAN POPPEL,Danny,,
roel-van-sintmaartensdijk,VAN SINTMAARTENSDIJK,Roel,,
floris-van-tricht,VAN TRICHT,Floris,,
casper-van-uden,VAN UDEN,Casper,,
ilan-van-wilder,VAN WILDER,Ilan,,
warre-vangheluwe,VANGHELUWE,Warre,,
harm-vanhoucke,VANHOUCKE,Harm,,
mauri-vansevenant,VANSEVENANT,Mauri,,
kevin-vauquelin,VAUQUELIN,Kévin,,
baptiste-veistroffer,VEISTROFFER,Baptiste,,
simone-velasco,VELASCO,Simone,,
andrea-vendrame,VENDRAME,Andrea,,
matheo-vercher,VERCHER,Mattéo,,
luca-vergallito,VERGALLITO,Luca,,
kevin-vermaerke,VERMAERKE,Kevin,,
florian-vermeersch,VERMEERSCH,Florian,,
ethan-vernon,VERNON,Ethan,,
carlos-verona,VERONA,Carlos,,
emiel-verstrynge,VERSTRYNGE,Emiel,,
louis-vervaeke,VERVAEKE,Louis,,
jay-vine,VINE,Jay,,
jonas-vingegaard,VINGEGAARD,Jonas,,
nicolas-vinokurov,VINOKUROV,Nicolas,,
attilio-viviani,VIVIANI,Attilio,,
aleksandr-vlasov,VLASOV,Aleksandr,,
yannis-voisard,VOISARD,Yannis,,
max-walker,WALKER,Max,,
max-walscheid,WALSCHEID,Max,,
liam-walsh,WALSH,Liam,,
frederik-wandahl,WANDAHL,Frederik,,
lawrence-warbasse,WARBASSE,Larry,,
samuel-watson,WATSON,Samuel,,
fabian-weiss,WEISS,Fabian,,
sam-welsford,WELSFORD,Sam,,
mats-wenzel,WENZEL,Mats,,
hannes-wilksch,WILKSCH,Hannes,,
luc-wirtgen,WIRTGEN,Luc,,
albert-withen-philipsen,WITHEN PHILIPSEN,Albert,,
adam-yates,YATES,Adam,,
edoardo-zambanini,ZAMBANINI,Edoardo,,
filippo-zana,ZANA,Filippo,,
enrico-zanoncello,ZANONCELLO,Enrico,,
maikel-zijlaard,ZIJLAARD,Maikel,,
georg-zimmermann,ZIMMERMANN,Georg,,
axel-zingle,ZINGLE,Axel,,
nickolas-zukowsky,ZUKOWSKY,Nickolas,,
felix-orn-kristoff,ØRN-KRISTOFF,Felix,,
peter-oxenberg-hansen,ØXENBERG,Peter,,
